variant,date,setup,side,micro_mode,micro_confirmed,micro_reason,micro_confidence,micro_bars_waited,micro_refined_r,entry_px,stop,tp1,tp2,sl_dist,pm_final,regime,exit_px,exit_reason,pnl_r,pnl_dollars,mfe_r,mae_r
v3_baseline_pm30,2019-11-12,EMA PB,long,baseline,False,baseline_no_micro,0.00,0,1.00,8291.00,8282.75,8299.25,8303.38,8.25,33.3,RISK-ON,8291.00,tp1_then_be,0.500,8.25,3.51,-0.06
v3_baseline_pm30,2019-11-14,ORB,short,baseline,False,baseline_no_micro,0.00,0,1.00,8223.00,8259.34,8232.31,8225.39,36.34,32.8,NEUTRAL,8223.00,tp1_then_be,0.500,36.34,0.08,-0.62
v3_baseline_pm30,2019-11-21,ORB,short,baseline,False,baseline_no_micro,0.00,0,1.00,8257.50,8287.91,8256.11,8247.98,30.41,39.2,RISK-ON,8257.50,tp1_then_be,0.500,30.41,0.12,-0.18
v3_baseline_pm30,2019-12-03,ORB,short,baseline,False,baseline_no_micro,0.00,0,1.00,8175.50,8238.44,8178.08,8162.59,62.94,32.9,NEUTRAL,8175.50,tp1_then_be,0.500,62.94,0.00,-0.17
v3_baseline_pm30,2019-12-11,ORB,long,baseline,False,baseline_no_micro,0.00,0,1.00,8404.00,8360.33,8408.47,8420.84,43.67,35.3,RISK-ON,8407.25,session_end,0.500,43.67,0.60,0.00
v3_baseline_pm30,2019-12-18,ORB,long,baseline,False,baseline_no_micro,0.00,0,1.00,8634.75,8581.10,8640.06,8654.76,53.65,37.5,RISK-ON,8634.75,tp1_then_be,0.500,53.65,0.12,-0.59
v3_baseline_pm30,2019-12-26,ORB,long,baseline,False,baseline_no_micro,0.00,0,1.00,8758.00,8738.38,8760.31,8766.10,19.62,36.1,RISK-ON,8758.00,tp1_then_be,0.500,19.62,1.02,-0.13
v3_baseline_pm30,2020-01-08,ORB,long,baseline,False,baseline_no_micro,0.00,0,1.00,8915.25,8845.67,8911.60,8928.90,69.58,44.4,RISK-ON,8928.90,tp2_partial,0.598,83.23,0.24,0.00
v3_baseline_pm30,2020-01-08,EMA PB,long,baseline,False,baseline_no_micro,0.00,0,1.00,8945.75,8933.73,8957.77,8963.77,12.02,30.1,NEUTRAL,8949.50,session_end,0.000,0.00,0.35,-0.10
v3_baseline_pm30,2020-01-10,ORB,short,baseline,False,baseline_no_micro,0.00,0,1.00,8994.50,9043.63,8994.37,8981.48,49.13,46.5,RISK-ON,8994.50,tp1_then_be,0.500,49.13,0.11,-0.15
v3_baseline_pm30,2020-01-15,ORB,long,baseline,False,baseline_no_micro,0.00,0,1.00,9083.50,9049.39,9086.93,9096.71,34.11,39.3,RISK-ON,9083.50,tp1_then_be,0.500,34.11,0.23,-0.17
v3_baseline_pm30,2020-02-03,ORB,long,baseline,False,baseline_no_micro,0.00,0,1.00,9114.75,9033.96,9130.20,9155.89,80.79,34.3,RISK-ON,9127.00,timeout,0.500,80.79,0.58,-0.03
v3_baseline_pm30,2020-02-10,EMA PB,long,baseline,False,baseline_no_micro,0.00,0,1.00,9472.00,9451.41,9492.59,9502.89,20.59,35.0,RISK-ON,9478.18,trail_lock,0.300,12.36,0.64,-0.21
v3_baseline_pm30,2020-02-11,ORB,short,baseline,False,baseline_no_micro,0.00,0,1.00,9537.75,9601.89,9524.95,9504.54,64.14,36.6,RISK-ON,9537.75,tp1_then_be,0.500,64.14,0.21,-0.21
v3_baseline_pm30,2020-02-13,ORB,long,baseline,False,baseline_no_micro,0.00,0,1.00,9608.00,9536.07,9608.57,9627.43,71.93,38.7,RISK-ON,9608.00,tp1_then_be,0.500,71.93,0.02,-0.75
v3_baseline_pm30,2020-02-21,ORB,short,baseline,False,baseline_no_micro,0.00,0,1.00,9483.25,9608.12,9517.62,9493.92,124.87,35.8,NEUTRAL,9483.25,tp1_then_be,0.500,124.87,0.00,-0.21
v3_baseline_pm30,2020-02-26,ORB,short,baseline,False,baseline_no_micro,0.00,0,1.00,8840.00,9037.42,8838.52,8785.75,197.42,37.3,NEUTRAL,8840.00,tp1_then_be,0.500,197.42,0.06,-0.04
v3_baseline_pm30,2020-03-04,ORB,long,baseline,False,baseline_no_micro,0.00,0,1.00,8788.75,8688.10,8801.89,8831.65,100.65,30.1,RISK-ON,8737.75,timeout,0.000,0.00,0.10,-0.88
v3_baseline_pm30,2020-05-19,EMA PB,long,baseline,False,baseline_no_micro,0.00,0,1.00,9408.00,9388.36,9427.64,9437.47,19.64,31.0,RISK-ON,9388.36,stop,-1.000,-39.29,0.45,-1.35
v3_baseline_pm30,2020-11-04,EMA PB,long,baseline,False,baseline_no_micro,0.00,0,1.00,11781.25,11716.13,11846.37,11878.93,65.12,31.9,RISK-ON,11716.13,stop,-1.000,-130.24,0.16,-1.07
v3_baseline_pm30,2020-11-12,ORB,short,baseline,False,baseline_no_micro,0.00,0,1.00,11803.00,11962.05,11860.06,11833.41,159.05,34.9,RISK-ON,11803.00,tp1_then_be,0.500,159.05,0.06,-0.12
