variant,date,setup,side,entry_5m_ix,entry_px,stop,tp1,tp2,sl_dist,pm_final,quant,red_team,regime,voice_agree,exit_px,exit_reason,pnl_r,pnl_dollars,bars_5m,mfe_r,mae_r
v3_4_fib_partial_pm30,2021-11-10,ORB,long,15,16137.75,16036.07,16145.49,16173.77,101.68,30.5,30.5,0.0,RISK-ON,7,16173.77,tp2_partial,0.677,137.70,1,0.42,-0.24
v3_4_fib_partial_pm30,2021-11-15,ORB,short,38,16105.00,16256.81,16199.69,16184.99,151.81,32.9,-44.9,15.0,RISK-ON,9,16105.00,tp1_then_be,0.500,151.81,0,0.06,-0.12
v3_4_fib_partial_pm30,2021-11-19,ORB,long,15,16580.00,16513.43,16580.49,16597.96,66.57,39.5,39.5,0.0,RISK-ON,8,16580.00,tp1_then_be,0.500,66.57,0,0.12,-0.13
v3_4_fib_partial_pm30,2021-11-22,ORB,short,38,16579.75,16714.95,16618.33,16592.98,135.20,35.1,-47.1,15.0,RISK-ON,9,16579.75,tp1_then_be,0.500,135.20,0,0.03,-0.15
v3_4_fib_partial_pm30,2021-11-23,ORB,long,15,16403.00,16278.78,16412.18,16447.38,124.22,31.7,31.7,0.0,NEUTRAL,8,16403.00,tp1_then_be,0.500,124.22,0,0.11,-0.05
v3_4_fib_partial_pm30,2021-11-24,ORB,long,22,16235.00,16108.16,16233.57,16266.09,126.84,30.3,30.3,0.0,RISK-ON,7,16266.09,tp2_partial,0.623,157.94,2,0.27,0.00
v3_4_fib_partial_pm30,2021-11-30,ORB,long,16,16389.50,16314.96,16387.76,16406.53,74.54,30.7,42.7,15.0,RISK-ON,8,16406.53,tp2_partial,0.614,91.56,0,0.38,0.00
v3_4_fib_partial_pm30,2021-12-01,ORB,short,53,16243.00,16358.72,16248.11,16219.30,115.72,41.2,-41.2,0.0,RISK-ON,10,16219.30,tp2_partial,0.602,139.42,1,0.26,-0.36
v3_4_fib_partial_pm30,2021-12-02,ORB,long,16,15999.25,15780.63,16030.59,16096.85,218.62,34.8,34.8,0.0,RISK-ON,7,15780.63,stop,-1.000,-437.24,9,0.13,-1.04
v3_4_fib_partial_pm30,2021-12-09,ORB,short,63,16215.75,16416.91,16313.33,16286.08,201.16,42.2,-42.2,0.0,NEUTRAL,10,16215.75,tp1_then_be,0.500,201.16,0,0.05,-0.05
