time,open,high,low,close,volume
1675136700,11928.25,11934.0,11923.5,11933.0,957
1675137000,11933.0,11945.75,11932.0,11937.5,811
1675137300,11936.75,11937.25,11927.5,11932.0,489
1675137600,11932.0,11934.5,11928.0,11931.75,488
1675137900,11932.0,11932.25,11923.75,11926.25,386
1675138200,11926.5,11931.0,11926.25,11926.25,329
1675138500,11927.0,11930.0,11921.75,11928.75,535
1675138800,11928.75,11934.0,11928.0,11932.25,405
1675139100,11932.5,11935.0,11931.0,11932.0,175
1675139400,11932.0,11934.75,11931.25,11932.75,178
1675139700,11932.5,11933.0,11926.0,11929.5,350
1675140000,11928.75,11933.5,11927.0,11931.0,192
1675140300,11930.75,11935.0,11930.75,11931.25,165
1675140600,11931.5,11933.5,11929.75,11932.5,126
1675140900,11932.25,11938.5,11932.25,11938.0,436
1675141200,11938.0,11940.25,11934.0,11938.25,335
1675141500,11938.0,11938.0,11928.75,11934.5,314
1675141800,11934.5,11941.75,11934.0,11940.0,241
1675142100,11939.75,11947.5,11937.75,11945.0,665
1675142400,11944.75,11946.5,11941.0,11945.75,163
1675142700,11945.75,11950.5,11943.75,11948.25,298
1675143000,11947.5,11948.5,11942.0,11943.75,226
1675143300,11944.0,11946.25,11941.5,11944.5,194
1675143600,11944.5,11946.0,11942.5,11942.5,165
1675143900,11942.5,11943.5,11935.25,11935.5,417
1675144200,11935.0,11936.75,11929.0,11933.0,419
1675144500,11932.75,11934.25,11926.75,11928.75,310
1675144800,11929.5,11934.5,11927.25,11931.5,357
1675145100,11932.0,11933.25,11926.0,11931.5,251
1675145400,11931.5,11937.25,11931.5,11935.25,303
1675145700,11935.75,11945.5,11935.5,11943.25,356
1675146000,11943.5,11947.0,11941.25,11944.0,315
1675146300,11943.75,11944.5,11940.5,11942.0,254
1675146600,11941.75,11944.0,11937.75,11939.75,283
1675146900,11940.0,11941.0,11932.75,11934.0,261
1675147200,11933.25,11939.0,11933.0,11938.5,141
1675147500,11938.75,11944.5,11938.75,11939.75,167
1675147800,11940.5,11944.5,11940.0,11944.25,281
1675148100,11944.75,11945.25,11940.25,11941.75,247
1675148400,11941.25,11956.5,11938.5,11953.0,715
1675148700,11953.0,11955.0,11943.5,11944.5,511
1675149000,11944.75,11945.25,11931.5,11933.5,767
1675149300,11933.5,11942.25,11933.0,11939.5,486
1675149600,11940.25,11944.0,11935.0,11936.75,390
1675149900,11937.25,11937.25,11934.0,11935.5,224
1675150200,11935.25,11942.75,11935.0,11941.75,252
1675150500,11942.5,11948.25,11941.75,11947.0,247
1675150800,11947.25,11947.25,11941.5,11942.0,186
1675151100,11942.0,11973.75,11942.0,11971.5,1516
1675151400,11972.0,11977.75,11969.0,11974.75,880
1675151700,11974.5,11982.25,11968.5,11977.5,896
1675152000,11977.75,11981.25,11972.5,11979.75,818
1675152300,11979.5,11981.0,11960.5,11962.0,1039
1675152600,11962.0,11971.25,11956.5,11956.5,987
1675152900,11956.5,11975.25,11954.5,11969.75,1016
1675153200,11969.5,11973.0,11949.75,11953.0,966
1675153500,11953.0,11954.0,11942.75,11948.0,1134
1675153800,11948.5,11948.5,11933.75,11945.75,1185
1675154100,11945.75,11947.25,11935.25,11937.25,585
1675154400,11936.5,11938.75,11923.25,11927.0,1187
1675154700,11927.0,11934.0,11907.0,11908.75,2111
1675155000,11908.25,11916.25,11907.0,11915.75,1021
1675155300,11915.75,11927.0,11912.0,11921.75,1009
1675155600,11922.5,11930.25,11920.5,11925.75,1186
1675155900,11925.25,11931.0,11918.75,11923.75,635
1675156200,11923.0,11926.5,11917.0,11920.75,801
1675156500,11920.5,11920.5,11907.0,11909.5,917
1675156800,11910.0,11919.0,11908.5,11917.25,936
1675157100,11917.0,11923.5,11915.75,11917.25,697
1675157400,11917.25,11921.5,11912.5,11915.25,581
1675157700,11915.0,11923.25,11913.0,11918.5,608
1675158000,11917.75,11926.5,11915.75,11926.25,647
1675158300,11926.25,11931.75,11922.75,11924.25,838
1675158600,11924.25,11926.25,11918.0,11920.5,490
1675158900,11920.25,11922.25,11914.0,11917.0,714
1675159200,11916.5,11918.25,11907.5,11915.25,925
1675159500,11914.75,11915.75,11908.0,11911.5,494
1675159800,11911.5,11913.5,11902.0,11907.75,891
1675160100,11908.0,11917.25,11907.5,11917.25,750
